Aditya Birla Capital Ltd, ADTB
Hubtown Ltd, HUBT
3i Infotech Ltd, TIIN
3M India Ltd, TMIN
ABB India Ltd, ABB
ACC Ltd, ACC
Aarti Industries Ltd, ARTI
Aban Offshore Ltd, ABAN
ABG Shipyard Ltd, ABGS
Adani Enterprises Ltd, ADEL
Adani Power Ltd, ADAN
Agro Tech Foods Ltd, AGRO
AIA Engineering Ltd, AIAE
Akzo Nobel India Ltd, AKZO
Allahabad Bank, ALBK
Allcargo Logistics Ltd, ACLL
Allied Digital Services Ltd, ADIS
Alok Industries Ltd, ALOK
GE Power India Ltd, GEPO
Amara Raja Batteries Ltd, AMAR
Ambuja Cements Ltd, ABUJ
Amtek Auto Ltd, AMTK
Castex Technologies Ltd, CASE
Anant Raj Ltd, ANRA
Andhra Bank, ADBK
Ansal Properties and Infrastructure Ltd, ANSP
Apollo Hospitals Enterprises Ltd, APLH
Apollo Tyres Ltd, APLO
Aptech Ltd, APTA
ARSS Infrastructure Projects Ltd, ARSS
Arvind Ltd, ARVN
Asahi India Glass Ltd, AISG
Ashok Leyland Ltd, ASOK
Asian Paints Ltd, ASPN
AstraZeneca Pharma India Ltd, ASTR
Atul Ltd, ATLP
Aurobindo Pharma Ltd, ARBN
Automotive Axles Ltd, ATOA
Sanofi India Ltd, SANO
AXIS Bank Ltd, AXBK
BGR Energy Systems Ltd, BGRE
Linde India Ltd, LIND
Bajaj Auto Ltd, BAJA
Bajaj Electricals Ltd, BJEL
Bajaj Finance Ltd, BJFN
Bajaj Finserv Ltd, BJFS
Bajaj Holdings and Investment Ltd, BJAT
Bajaj Hindustan Ltd, BJHN
Balaji Telefilms Ltd, BLTE
Ballarpur Industries Ltd, BILT
Balmer Lawrie & Co Ltd, BLMR
Balrampur Chini Mills Ltd, BACH
Banco Products India Ltd, BNCO
Bank of India Ltd, BOI
Bannari Amman Sugars Ltd, BANN
BASF India Ltd, BASF
Bata India Ltd, BATA
BEML Ltd, BEML
Berger Paints India Ltd, BRGR
BF Utilities Ltd, BFUT
Bhansali Engineering Polymers Ltd, BHAN
Bharat Forge Ltd, BFRG
Bharat Petroleum Corp Ltd, BPCL
Bharti Airtel Ltd, BRTI
Bharat Heavy Electricals Ltd, BHEL
Bharat Electronics Ltd, BAJE
Tata Steel BSL Ltd, TATS
Biocon Ltd, BION
Birla Corporation Ltd, BRLC
Bank of Baroda Ltd, BOB
Blue Dart Express Ltd, BLDT
Blue Star Ltd, BLUS
Bombay Dyeing & Mfg Co Ltd, BDYN
Bombay Rayon Fashions Ltd, BRFL
Bosch Ltd, BOSH
Brigade Enterprises Ltd, BRIG
Britannia Industries Ltd, BRIT
Cadila Healthcare Ltd, CADI
Canara Bank Ltd, CNBK
Can Fin Homes Ltd, CNFH
Carborundum Universal Ltd, CRBR
Castrol India Ltd, CAST
Central Bank of India Ltd, CBI
Century Enka Ltd, CNTE
Century Plyboards Ltd, CNTP
Century Textiles & Industries Ltd, CNTY
CESC Ltd, CESC
Chambal Fertilisers & Chemicals Ltd, CHMB
Chennai Petroleum Corporation Ltd, CHPC
Cholamandalam Investment and Finance Company Ltd, CHLA
Cipla Ltd, CIPL
City Union Bank Ltd, CTBK
Clariant Chemicals India Ltd, CLAC
CMC Ltd, CMC
Coal India Ltd, COAL
Colgate-Palmolive (India) Ltd, COLG
Container Corporation of India Ltd, CCRI
Corporation Bank Ltd, CRBK
Coromandel International Ltd, CORF
Cox & Kings Ltd, COKI
CRISIL Ltd, CRSL
CG Power and Industrial Solutions Ltd, CGPO
Cummins India Ltd, CUMM
D B Realty Ltd, DBRL
Dabur India Ltd, DABU
DCM Shriram Consolidated, DCMS
DCW Ltd, DCWL
Deepak Fertilisers and Petrochemicals Corp Ltd, DPFE
Delta Corp Ltd, DELT
Dena Bank, DENA
Development Credit Bank Ltd, DCBA
Dewan Housing Finance Corp Ltd, DWNH
Dhampur Sugar Mills Ltd, DAMS
Dhanlaxmi Bank Ltd, DNBK
Dish TV India Ltd, DSTV
Divis Laboratories Ltd, DIVI
DLF Ltd, DLF
Dr Reddy’s Laboratories Ltd, REDY
Dredging Corporation of India Ltd, DRDG
Dynamatic Technologies Ltd, DYNM
EIH Ltd, EIHO
eClerx Services Ltd, ECLE
Edelweiss Financial Services Ltd, EDEL
Educomp Solutions Ltd, EDSO
Eicher Motors Ltd, EICH
EID-Parry Ltd, EIDP
Electrosteel Castings Ltd, ELST
ELGI Equipments Ltd, ELGE
Emami Ltd, EMAM
Engineers India Ltd, ENGI
Entertainment Network India Ltd, ENIL
ESAB India Ltd, ESAB
Escorts Ltd, ESCO
Essel Propack ltd, ESSL
Everest Kanto Cylinder Ltd, EKCL
Exide Industries Ltd, EXID
FDC Ltd, FDC
Schaeffler India Ltd, SCHE
Federal Bank Ltd, FED
Federal Mogul Goetze Ltd, FEDM
63 Moons Technologies Ltd, 63MO
Finolex Cables Ltd, FNXC
Finolex Industries Ltd, FINX
Firstsource Solutions Ltd, FISO
Fortis Healthcare Ltd, FOHE
Capital First Ltd, CAPF
Future Consumer Ltd, FTRE
GHCL Ltd, GHCH
GAIL Ltd, GAIL
Gammon India Ltd, GAMM
Gammon Infrastructure Projects Ltd, GAIN
Garden Silk Mills Ltd, GARD
Gateway Distriparks Ltd, GATE
Geojit BNP Paribas Financial Services Ltd, GEOJ
Geometric Ltd, GEOM
Great Eastern Shipping Co Ltd, GESC
Gillette India Ltd, GILE
Gitanjali Gems Ltd, GTGM
GlaxoSmithkline Pharmaceuticals Ltd, GLAX
GlaxoSmithKline Consumer Healthcare Ltd, GLSM
Glenmark Pharmaceuticals Ltd, GLEN
GMR Infrastructure Ltd, GMRI
Godfrey Phillips India Ltd, GDFR
Godrej Consumer Products Ltd, GOCP
Godrej Industries Ltd, GODI
Godrej Properties Ltd, GODR
Graphite India Ltd, GRPH
Grasim Industries Ltd, GRAS
Greaves Cotton Ltd, GRVL
GTL Infrastructure Ltd, GTLI
GTL Ltd, GTL
Gujarat Alkalis & Chemicals Ltd, GALK
Gujarat Fluorochemicals Ltd, GUJL
Gujarat Industries Power Company Ltd, GJIP
Gujarat Mineral Development Corporation Ltd, GMDC
Gujarat Narmada Valley FertCoLtd, GNFC
Gujarat NRE Coke Ltd, GJNC
Gujarat Ambuja Exports Ltd, GAME
Gujarat State Fertilizers and Chemicals Ltd, GSFC
Gujarat Pipavav Port Ltd, GPPL
Gujarat State Petronet Ltd, GSPT
Gujarat Gas Ltd, GGAS
GVK Power & Infrastructure Ltd, GVKP
Hathway Cable & Datacom Ltd, HAWY
Havells India Ltd, HVEL
HCL Infosystems Ltd, HCLI
HCL Technologies Ltd, HCLT
HDFC Bank Ltd, HDBK
HEG Ltd, HEGL
Hero MotoCorp Ltd, HROM
Hexaware Technologies Ltd, HEXT
Himatsingka Seide Ltd, HMSD
HFCL Ltd, HFCL
Hindustan Construction Co Ltd, HCNS
Hindustan Petroleum Corporation Ltd, HPCL
Hindustan Unilever Ltd, HLL
Hindustan Zinc Ltd, HZNC
Hindalco Industries Ltd, HALC
Hindustan Oil Exploration Company Ltd, HOEX
Honeywell Automation India Ltd, HONE
Hotel Leela Venture Ltd, HTLE
Housing Development Finance Corporation Ltd, HDFC
Housing Development and Infrastructure Ltd, HDIL
HSIL Ltd, HSNT
HT Media Ltd, HTML
IFCI Ltd, IFCI
Indian Oil Corporation Ltd, IOC
ICICI Bank Ltd, ICBK
IDBI Bank Ltd, IDBI
Vodafone Idea Ltd, VODA
IL&FS Engineering and Construction Co Ltd, ILFE
IND Swift Laboratories Ltd, ISLB
Indiabulls Ventures Ltd, INDB
India Cements Ltd, ICMN
India Glycols Ltd, IGLY
IIFL Fiinance Ltd Class B, IIFL
RattanIndia Power Ltd, RTNP
Indian Bank, INBA
Indian Hotels Co Ltd, IHTL
Indian Overseas Bank, IOBK
Indo Rama Synthetics (India) Ltd, IRSY
Indraprastha Gas Ltd, IGAS
Indraprastha Medical Corporation Ltd, IMCL
IndusInd Bank Ltd, INBK
Info Edge India Ltd, INED
Infosys Ltd, INFY
Cyient Ltd-B, CYIE
IDFC Ltd, IDFC
Ingersoll-Rand Ltd, INGR
Inox Leisure Ltd, INOL
Ipca Laboratories Ltd, IPCA
IRB Infrastructure Developers Ltd, IRBI
ITC Ltd, ITC
IVRCL LTD, IVRC
JSW Steel Ltd, JSTL
Jagran Prakashan Ltd, JAGP
Jai Balaji Industries Ltd, JAIB
Jai Corp Ltd, JAIC
Jain Irrigation Systems Ltd, JAIR
Jaiprakash Associates Ltd, JAIA
Jaiprakash Power Ventures Ltd, JAPR
Jammu and Kashmir Bank Ltd, JKBK
Jaypee Infratech Ltd, JYPE
Jay Shree Tea & Industries Ltd, JYST
J B Chemicals and Pharmaceuticals Ltd, JBCH
Jet Airways Ltd, JET
Jindal Poly Films Ltd, JPLY
Jindal South West Holdings Ltd, JNSW
Jindal Stainless Ltd, JIST
Jindal Steel & Power Ltd, JNSP
JK Tyre & Industries Ltd, JKIN
JM Financial Ltd, JMSH
JSW Energy Ltd, JSWE
JSW Ispat Steel Ltd, JSWI
Jubilant Life Sciences Ltd, JULS
Jubilant Foodworks Ltd, JUBI
